companyID,employeeID,name,employeeNumber
1,1267,VRP CONSULTING,4827
2,326,ADASTRA,4252
3,1618,COMMENCIS,1360
4,4710,ADASTRA,380
5,2232,COMMENCIS,3408
6,4605,LEMLOCK,408
7,5445,THINKPORT GMBH,4469
8,4834,ELEKS,5613
9,2982,FUTURE PROCESSING,126
10,2161,FEXLE INC.,4502
11,2677,CIKLUM,762
12,3931,JELVIX,1564
13,622,THINKPORT GMBH,4045
14,3893,IT SVIT,1515
15,3709,FEXLE INC.,1423
16,519,INFOPULSE,2037
17,2819,AVENGA,4393
18,3466,ITEORA GMBH,3591
19,2958,UNICSOFT,2216
20,4911,SOFTSERVE,2471
21,1434,PROMX,4352
22,4890,THINKPORT GMBH,5574
23,879,COMSENSE TECHNOLOGIES,2876
24,401,LEMLOCK,4802
25,2694,COMSENSE TECHNOLOGIES,5073
26,4839,ITEORA GMBH,3247
27,1426,VRP CONSULTING,3234
28,4295,JELVIX,4299
29,4101,THINKPORT GMBH,1959
30,5082,SOFTSERVE,2722
31,1372,FEXLE INC.,4868
32,4849,JELVIX,3033
33,3057,LEMLOCK,5641
34,2562,COMMENCIS,4890
35,3894,COMMENCIS,1197
36,2891,INSTINCTOOLS,1475
37,4376,INSTINCTOOLS,368
38,3214,THINKPORT GMBH,4422
39,1362,FUTURE PROCESSING,817
40,4293,FEXLE INC.,5319
41,4002,COMMENCIS,2227
42,194,ITEORA GMBH,2916
43,2047,DATAART,2847
44,5695,JELVIX,3217
45,3153,VRP CONSULTING,685
46,4555,VRP CONSULTING,5100
47,4242,DATAART,1838
48,582,IT SVIT,3190
49,1637,AVENGA,2330
50,3566,ADASTRA,4776
51,4962,THINKPORT GMBH,128
52,4614,CIKLUM,4536
53,652,COMSENSE TECHNOLOGIES,2273
54,4699,LEMLOCK,2314
55,3752,COMSENSE TECHNOLOGIES,4234
56,2074,VRP CONSULTING,1195
57,1746,VRP CONSULTING,5668
58,2925,INFOPULSE,4798
59,1846,INFOPULSE,2783
60,5523,ADASTRA,486
61,301,THINKPORT GMBH,1548
62,5066,FUTURE PROCESSING,482
63,5128,COMSENSE TECHNOLOGIES,3807
64,4964,CIKLUM,2875
65,650,INSTINCTOOLS,1105
