employeeAddtitionalInfoID,employeeID,education,maritalStatus ,monthlyIncome ,environmentSatisfaction,trainingTimesLastYear
1,580,2,Married,131160,3,6
2,1714,1,Single,41890,3,3
3,3197,4,Married,193280,2,2
4,744,5,Married,83210,4,5
5,735,1,Single,23420,4,2
6,187,3,Married,40710,3,5
7,1953,2,Single,58130,1,2
8,4815,3,Married,31430,1,2
9,3886,3,Married,20440,2,2
10,2685,4,Divorced,134640,2,2
11,1148,2,Married,79910,3,2
12,2712,1,Married,33770,NA,2
13,4253,4,Single,55380,4,2
14,4658,1,Married,57620,1,4
15,2088,3,Married,25920,4,2
16,4791,3,Married,53460,3,2
17,368,2,Single,42130,4,3
18,1885,3,Divorced,41270,1,2
19,1301,4,Divorced,24380,2,5
20,5709,3,Divorced,68700,1,5
21,5197,4,Divorced,104470,3,3
22,5511,4,Divorced,96670,1,2
23,4258,4,Married,21480,3,2
24,4709,4,Married,89260,2,4
25,5563,4,Single,65130,2,2
26,3256,4,Married,67990,2,2
27,5670,3,Married,162910,1,3
28,905,1,Single,27050,4,2
29,652,2,Divorced,103330,4,2
30,1819,3,Divorced,44480,4,3
31,1304,3,Divorced,68540,1,5
32,4307,3,Single,96370,4,6
33,1888,1,Single,35910,3,2
34,4956,3,Single,54050,3,2
35,1754,4,Divorced,46840,4,4
36,5616,3,Single,157870,4,5
37,3958,1,Married,15140,2,3
38,3893,2,Married,29560,3,2
39,520,4,Single,23350,3,3
40,5093,2,Married,51540,3,2
41,1737,3,Married,69620,3,2
42,5036,3,Divorced,56750,4,2
43,3415,1,Single,23790,4,6
44,836,3,Single,38120,4,3
45,4261,3,Single,46480,2,2
46,2703,1,Married,29360,2,2
47,2477,4,Divorced,21050,3,3
48,2995,4,Married,85780,2,4
49,800,3,Married,27060,4,4
50,3377,2,Married,63840,1,4
51,5688,3,Divorced,39680,4,3
52,2389,1,Married,99070,3,3
53,4264,4,Married,132250,1,2
54,2291,1,Divorced,35400,1,6
55,1327,4,Divorced,28040,3,0
56,1939,3,Married,193920,4,3
57,776,4,Married,196650,3,6
58,3082,4,Single,24390,3,2
59,4310,3,Single,73140,3,2
60,4975,1,Married,47740,3,2
61,2791,4,Single,39020,3,2
62,2302,3,Married,26620,3,6
63,3131,2,Single,28560,4,5
64,3871,3,Divorced,10810,4,4
65,5624,3,Single,24720,1,2
66,1145,4,Married,56730,1,4
67,3834,3,Married,41970,4,3
68,853,1,Married,97130,3,5
69,137,4,Married,20620,3,4
70,1915,1,Married,42840,4,0
71,986,2,Single,47880,2,0
72,163,3,Married,59060,4,4
73,469,3,Divorced,38860,3,2
74,3604,3,Married,168230,3,3
75,3474,4,Single,29330,4,2
76,2924,2,Married,65000,3,3
77,964,1,Married,171740,4,6
78,2115,4,Married,50330,2,6
79,4295,3,Married,23070,2,0
80,5689,3,Single,25870,2,3
81,3122,3,Divorced,55070,4,2
82,5427,2,Married,43930,2,2
83,663,4,Divorced,133480,4,4
84,5533,4,Divorced,65830,3,1
85,1209,3,Single,81030,3,5
86,5135,4,Divorced,39780,4,0
87,309,2,Single,25440,3,3
88,4052,4,Divorced,53990,3,2
89,5515,2,Single,54870,4,0
90,2451,3,Single,68340,2,2
91,3501,4,Single,10910,1,0
92,3780,4,Married,57360,4,1
93,2382,4,Divorced,22260,3,3
94,1536,3,Married,57470,3,0
95,1452,4,Married,98540,1,2
96,1958,5,Divorced,54670,3,2
97,1625,4,Married,53800,4,0
98,3150,3,Married,51510,3,3
99,4503,2,Single,21330,1,2
100,3429,3,Single,178750,1,5
101,3084,3,Single,24320,4,4
102,2584,3,Married,47710,1,2
103,4484,4,Married,191610,4,2
104,4816,3,Married,50870,4,3
105,141,5,Single,28630,1,2
106,993,2,Single,55610,4,3
107,3993,3,Married,21440,3,3
108,4710,4,Married,30650,3,3
109,3615,1,Single,28100,1,3
110,5340,3,Single,98880,4,2
111,2499,3,Married,86280,3,2
112,549,3,Single,28670,NA,5
113,1506,2,Single,53730,3,2
114,5573,3,Single,66670,4,6
115,303,3,Single,50030,3,2
116,1665,3,Divorced,23670,4,2
117,1066,2,Single,28580,2,2
118,1183,3,Single,52040,2,3
119,755,2,Married,41050,3,2
120,2012,2,Married,96790,4,1
121,4576,3,Single,56170,1,3
122,792,3,Single,104480,3,3
123,1854,3,Divorced,28970,4,4
124,1172,3,Married,59680,3,3
125,2535,3,Single,75100,3,3
126,304,5,Married,29910,1,3
127,4582,3,Married,196360,2,3
128,3595,2,Single,11290,3,2
129,2236,1,Divorced,133410,4,3
130,5399,2,Divorced,43320,4,3
131,5704,3,Divorced,110310,2,2
132,2822,1,Single,44400,3,3
133,5094,2,Divorced,46170,1,2
134,969,2,Married,26470,2,2
135,5580,3,Married,63230,1,2
136,383,3,Married,56770,3,3
137,2834,4,Married,21870,2,2
138,4267,3,Married,37480,4,3
139,3146,4,Divorced,39770,3,3
140,2711,2,Single,86330,2,2
141,5035,3,Married,20080,2,5
142,697,1,Married,44400,4,2
143,2039,4,Divorced,30670,2,5
144,4537,4,Married,53210,3,1
145,4762,4,Single,54100,2,2
146,348,3,Married,27820,2,2
147,433,3,Divorced,119570,3,2
148,4420,2,Married,26600,1,3
149,1350,2,Married,33750,4,2
150,363,3,Married,50980,1,4
151,2674,3,Married,48780,4,3
152,456,3,Divorced,28370,1,0
153,3303,3,Single,24060,3,5
154,3995,3,Married,22690,1,4
155,1474,4,Divorced,41080,3,5
156,987,4,Married,132060,4,2
157,1158,2,Single,104220,1,0
158,375,3,Divorced,137440,4,3
159,5652,3,Married,49070,4,3
160,2306,4,Married,34820,3,2
161,1312,2,Divorced,24360,1,2
162,1735,3,Married,23800,3,2
163,2409,3,Married,194310,2,3
164,1106,4,Married,17900,3,4
165,1157,3,Single,76440,1,2
166,2044,4,Married,51310,3,2
167,2661,2,Divorced,63060,1,3
168,459,4,Married,47870,2,3
169,2404,2,Single,188800,3,3
170,2981,3,Married,23390,3,4
171,2802,3,Divorced,135700,1,2
172,3478,1,Married,67120,1,3
173,3395,2,Single,54060,4,2
174,2111,4,Single,89380,3,2
175,1585,2,Divorced,24390,4,2
176,4787,3,Married,88370,3,3
177,1060,3,Divorced,53430,3,3
178,255,3,Married,67280,2,2
179,4807,4,Divorced,66520,1,5
180,3102,3,Single,48500,4,4
181,1911,2,Married,28090,4,2
182,4076,2,Married,56890,1,2
183,2232,1,Divorced,20010,2,5
184,4615,4,Married,29770,2,3
185,1916,4,Single,40250,2,3
186,997,3,Single,37850,3,2
187,1368,3,Married,108540,2,6
188,3341,3,Single,120310,1,5
189,5060,2,Single,99360,4,2
190,3461,3,Married,29660,2,2
191,3718,3,Single,25710,2,1
192,4003,1,Married,99910,3,3
193,3142,4,Single,61420,2,2
194,4514,3,Married,53900,4,3
195,4323,1,Married,44040,4,2
196,2576,1,Divorced,59930,NA,3
197,428,3,Divorced,51300,4,3
198,2268,3,Divorced,20900,1,2
199,645,4,Divorced,29090,3,2
200,4543,3,Single,34680,2,4
201,4328,4,Divorced,30680,3,3
202,5022,3,Single,26700,1,2
203,4199,4,Divorced,26930,1,3
204,2203,4,Single,95260,1,2
205,5164,3,Single,52370,4,3
206,5059,3,Single,24260,3,3
207,5049,1,Single,41930,2,5
208,1468,1,Married,29110,1,3
209,2193,1,Married,26610,2,2
210,2185,2,Divorced,20280,1,3
211,1470,1,Divorced,99800,4,2
212,656,2,Married,32980,4,4
213,4215,3,Married,29350,4,5
214,4770,3,Married,154270,3,2
215,3536,4,Married,39440,2,3
216,3316,1,Divorced,40110,4,2
